ra,dec,rv,j,ej,h,eh,k,ek,dist,sn,feh
0.067767,58.66811,-83.00792,9.833,0.4774,8.821,0.1459,8.494,0.0389,4.282147,5.8951707,-0.37650628
358.45131,58.491954,-52.416935,8.418,0.5135,7.344,0.1569,6.955,0.0419,3.3321803,44.480858,-0.086212848
357.48822,58.525848,-12.131408,9.962,0.4361,8.926,0.1326,8.601,0.0352,6.1872242,23.378294,-0.46072126
357.98766,58.537641,-26.683084,8.202,0.5061,7.135,0.1542,6.789,0.041,2.5237316,172.78278,-0.83003167
114.97327,-1.721754,148.71942,11.483,0.0499,10.642,0.0187,10.409,0.0064,19.476387,66.638855,-0.53798049
129.2779,39.969153,-21.921421,8.021,0.0313,7.264,0.0224,7.036,0.0162,3.1793069,258.17664,-0.080803877
127.8655,42.03232,-12.708639,6.434,0.0237,5.559,0.0169,5.265,0.0123,2.7261317,180.50299,999
124.7438,40.228448,-9.954962,10.351,0.0365,9.563,0.0261,9.335,0.0189,10.382374,67.80032,-0.30195462
126.77193,41.165334,54.941555,9.306,0.0277,8.456,0.0198,8.273,0.0143,6.9561667,243.00269,-0.28259843
126.97345,40.965236,-21.67244,8.014,0.0328,7.286,0.0235,7.087,0.017,2.407499,71.52569,999
90.392689,23.240607,-25.724174,11.358,0.6502,10.046,0.1786,9.603,0.042,19.254161,43.753082,-1.0726219
160.67271,26.423211,57.943443,7.593,0.0224,6.792,0.016,6.526,0.0116,3.5711809,153.61502,-0.4653433
158.66467,24.868208,-54.37303,10.273,0.0135,9.415,0.0097,9.138,0.007,15.003702,147.6305,-1.5309763
161.51326,27.278768,17.128109,6.713,0.023,5.826,0.0164,5.516,0.0119,3.2919054,275.79587,999
161.50134,27.214141,76.01927,12.184,0.0231,11.609,0.0165,11.458,0.0119,3.2986605,5.234167,-0.61572562
342.7522,55.646242,-94.24708,10.795,0.4212,9.745,0.1278,9.426,0.0338,9.9974791,68.28622,-0.67741921
343.47121,54.887861,-41.479797,10.696,0.3559,9.753,0.1111,9.425,0.0304,8.4360797,66.73023,-0.10042971
343.43192,55.174008,-54.57246,9.129,0.4207,8.038,0.1302,7.636,0.0352,6.9686741,112.43539,-0.13047945
343.07456,55.198463,-79.73162,10.78,0.4078,9.69,0.1257,9.323,0.0339,14.040908,53.81434,-0.58878528
342.88507,57.447927,-36.576115,8.873,0.3359,7.783,0.0969,7.391,0.0242,7.4616805,126.69054,-1.0519725
344.71228,57.346216,-91.810425,11.158,0.4366,10.057,0.1281,9.632,0.0326,18.267648,44.758957,-0.19515546
345.34969,57.352872,-133.28711,10.908,0.4471,9.911,0.1318,9.574,0.0337,7.9146381,104.40711,-0.38223645
345.43491,57.557519,-105.21711,10.605,0.4048,9.588,0.1187,9.269,0.0301,8.4840854,120.75792,-0.32587664
343.78484,56.353458,-56.65894,10.707,0.5067,9.578,0.1519,9.199,0.0396,11.424067,78.85183,-0.52196432
344.30434,55.606138,-60.948906,11.473,0.3493,10.53,0.1075,10.289,0.0289,7.782284,70.360085,-0.47560878
344.14278,55.879671,-94.90692,10.839,0.401,9.741,0.1222,9.433,0.0325,12.605429,79.3351,-0.47748956
348.84791,56.690477,-117.68652,12.105,0.3423,11.249,0.1053,10.983,0.0283,7.0198343,31.888014,-0.35412565
347.13195,57.115372,-77.957985,9.327,0.4449,8.184,0.1337,7.794,0.0349,7.8504198,134.60403,-0.084297208
346.658,56.063948,-91.836525,10.477,0.2495,9.467,0.0771,9.12,0.0208,14.777072,83.94871,-0.14181282
346.08485,56.37633,-78.98676,10.68,0.3207,9.632,0.0977,9.331,0.026,12.823656,93.203094,-0.2805758
346.63478,58.154824,-144.07649,12.109,0.6039,10.917,0.1754,10.557,0.044,17.539554,23.287214,-0.71247557
347.20691,57.710766,-101.83495,11.156,0.6145,10.032,0.1815,9.628,0.0465,9.8725187,51.24398,-0.21052025
346.70406,59.189455,-68.56124,10.341,0.7289,9.116,0.2054,8.647,0.0498,7.9792106,55.136875,-0.5120975
345.66031,58.722668,-87.80006,10.968,0.6533,9.867,0.1854,9.488,0.0453,5.6495493,17.946262,-0.56877133
347.27112,58.501,-75.48433,10.317,0.7636,9.125,0.2204,8.715,0.0549,4.5075245,59.74961,-0.56460857
348.03184,58.347936,-134.01852,9.287,0.87,7.927,0.2535,7.433,0.0639,5.1389411,77.60081,-0.18559148
349.27912,57.473836,-55.57803,10.207,0.6468,8.858,0.1949,8.373,0.0511,13.616882,19.92931,-0.76322099
349.22962,57.946012,-80.65314,9.906,0.8904,8.552,0.2645,8.167,0.0682,3.9902949,25.879475,-0.5013713
341.02987,57.1194,-152.33176,11.611,0.3795,10.536,0.1089,10.204,0.027,19.174321,6.714805,-0.53495597
340.82968,57.381013,-25.578615,9.602,0.4245,8.403,0.1208,8.004,0.0296,10.706964,97.832886,-0.25771147
343.70452,59.060794,-82.579094,10.683,0.7671,9.546,0.2126,9.133,0.0505,3.6387681,26.540627,-0.68435112
109.4515,16.082909,-242.9822,15.106,0.0573,14.689,0.0237,14.505,0.009,0.47233175,1.6240654,-0.74730631
142.03244,11.327763,69.31493,10.632,0.0226,9.845,0.0162,9.628,0.0117,11.655876,161.83282,-0.3863625
140.49192,12.248328,17.51243,8.215,0.0184,7.472,0.0132,7.241,0.0095,3.4272136,439.93704,999
143.46395,14.766655,5.975809,7.801,0.0237,6.923,0.0169,6.664,0.0123,4.750065,435.6524,999
142.86548,14.452581,10.362661,8.515,0.0301,7.757,0.0215,7.575,0.0156,3.2646533,507.53284,-0.07676985
88.352876,14.392777,61.269753,11.708,0.1503,10.804,0.0495,10.6,0.0144,16.592073,65.35523,-0.43802439
87.742317,16.774629,-1.7646405,10.094,0.1936,9.085,0.0624,8.687,0.0177,15.727114,87.78757,-0.75953184
90.455425,14.814597,5.580451,9.732,0.3939,8.548,0.1218,8.149,0.033,11.945085,60.51772,-0.69950639
90.656298,15.229641,57.652172,11.677,0.4741,10.56,0.1449,10.188,0.0386,18.865028,40.01753,-0.48126435
90.806761,15.213499,81.56009,10.845,0.5532,9.682,0.1685,9.292,0.0447,12.054389,62.778416,-1.0681788
90.788131,15.034109,42.077324,11.438,0.5818,10.387,0.1778,10.021,0.0474,7.7244425,52.19106,-0.269956
90.652212,14.329449,26.771341,10.447,0.5153,9.281,0.1598,8.874,0.0433,12.035121,83.02173,-0.80445637
90.711542,16.310323,36.909424,10.21,0.5912,9.106,0.1774,8.738,0.0463,5.5467251,91.3373,-0.41342172
90.189795,15.145095,14.835375,11.747,0.3109,10.729,0.0964,10.444,0.0261,18.698496,65.55081,-0.55222611
89.840677,16.055385,91.54967,10.934,0.4083,9.918,0.1259,9.581,0.0339,10.593464,116.29841,-0.46906077
90.040479,16.405011,16.9475,9.487,0.5029,8.353,0.1534,7.923,0.0408,7.7976118,138.87903,-0.43713084
89.905962,17.385719,44.9933,10.839,0.5064,9.743,0.1526,9.409,0.04,9.1068423,90.59073,-0.58347987
89.876312,17.787033,29.101208,9.332,0.6832,8.162,0.2048,7.694,0.0534,4.998846,124.08319,-0.82874244
88.980653,18.694774,-6.2044163,10.605,0.455,9.522,0.1376,9.127,0.0363,11.824994,64.67779,-0.62339236
90.847223,17.526246,38.363354,10.862,0.8149,9.587,0.239,9.138,0.0607,8.196554,36.665424,-1.1791093
91.2779,17.452037,-21.310328,10.369,0.8696,9.185,0.2524,8.764,0.0634,2.2953024,55.051502,-0.64671663
90.347675,18.427314,30.266232,9.863,0.7931,8.679,0.2324,8.219,0.059,3.9477603,54.554695,-0.58772199
91.740074,16.844077,21.903442,10.199,0.9924,8.976,0.2873,8.531,0.0719,1.2345025,58.605164,-0.88651151
91.495816,16.460393,26.350525,9.744,0.7981,8.487,0.2339,8.048,0.0594,4.6795946,86.943924,-0.77186759
90.589443,17.257418,4.9689527,9.606,0.9634,8.182,0.2857,7.657,0.0735,5.9027871,70.35758,-0.99558828
90.772795,17.216828,50.09398,10.112,0.8386,8.751,0.2477,8.296,0.0634,7.4524707,63.654625,-1.2926351
91.433574,17.192698,28.062746,9.002,0.9919,7.651,0.2879,7.181,0.0723,2.3157259,111.83618,-0.77186759
88.921866,17.738271,28.87962,10.029,0.4597,8.905,0.1414,8.5,0.038,10.354411,131.39694,-0.336388
88.177701,18.503773,43.74278,10.942,0.355,9.903,0.11,9.583,0.0298,13.337238,78.38881,-0.74487443
347.09433,50.556717,-123.40282,11.849,0.1415,10.962,0.0516,10.718,0.0169,20.312572,91.7727,-0.33790726
347.59163,52.747009,-161.05725,12.276,0.1847,11.366,0.0634,11.112,0.0194,23.558408,34.761105,-0.41342172
51.951975,37.772004,68.25344,13.069,0.3137,12.349,0.1405,12.088,0.0588,4.9763668,1.488612,999
49.828642,35.903277,-70.503265,12.81,0.2061,11.934,0.1,11.73,0.046,21.159202,34.3192,-0.85867372
85.432512,22.07076,19.048342,9.84,0.4157,8.763,0.1304,8.355,0.0358,9.6303823,113.13052,-0.88918808
87.51097,22.446339,-15.294835,11.495,0.6062,10.605,0.1792,10.309,0.046,0.44354271,95.933464,-0.31195676
87.685068,21.480006,-15.419819,11.053,0.346,10.187,0.1035,9.901,0.0269,5.219265,85.35905,-0.35412565
86.843496,21.794008,85.57716,11.425,0.3289,10.43,0.1,10.127,0.0265,14.723956,68.07901,-0.36201953
86.843286,20.522133,60.504852,11.692,0.4613,10.694,0.1432,10.366,0.0389,10.326924,33.48094,-0.55942992
86.152246,21.181399,54.54402,9.41,0.3771,8.317,0.1178,7.933,0.0323,8.6047902,134.15512,999
83.61737,22.299631,-4.93543,10.816,0.3244,9.778,0.1061,9.492,0.0306,12.611634,71.864815,-0.40229279
86.203943,25.034875,19.49891,11.113,0.4685,10.144,0.1371,9.797,0.0348,6.9946127,25.762617,-0.35099896
87.646046,23.578516,45.953457,11.052,0.6092,9.884,0.1762,9.486,0.044,11.113633,38.53452,-0.91483536
84.007309,24.623257,36.35483,10.671,0.5538,9.557,0.1723,9.221,0.0469,7.5296476,26.644663,-0.64000296
84.432179,23.977344,-40.641735,10.934,0.6502,9.867,0.2024,9.518,0.0552,3.9327906,25.483282,-0.22913187
84.655318,24.204534,37.713036,10.884,0.6991,9.843,0.2156,9.47,0.0581,2.5016169,34.15755,-0.5309387
23.67884,28.106014,-72.8229,13.683,0.0629,12.96,0.045,12.745,0.0326,31.721568,0.90559906,999
22.974936,28.174616,59.91197,14.367,0.0581,13.687,0.0415,13.517,0.03,25.274643,1.2612345,999
23.251901,27.686041,-117.12376,10.555,0.0685,9.709,0.0489,9.496,0.0355,12.404641,35.57673,-0.23858775
22.021108,28.52626,-0.67146945,5.041,0.059,3.915,0.0421,3.55,0.0305,2.208823,174.35434,999
22.623782,30.098908,-10.987938,9.202,0.045,8.502,0.0322,8.417,0.0233,1.4189323,120.63551,-0.10664869
23.827144,30.074556,36.598095,8.891,0.0406,8.127,0.029,7.92,0.021,4.3629708,148.7464,-0.086999231
117.42174,35.856076,11.019548,15.082,0.0326,14.157,0.0209,14.086,0.0133,84.417817,4.688536,-1.2311837
118.19526,34.433917,35.854294,15.167,0.035,14.468,0.0226,14.296,0.0145,45.261251,1.2576278,999
117.68198,34.661159,222.7933,15.383,0.0324,14.758,0.0207,14.47,0.0131,65.215595,1.0802306,999
47.165653,25.239194,55.091045,8.573,0.1249,7.791,0.0837,7.552,0.0564,3.642949,171.03532,-0.084019027
47.33897,24.884559,-29.197807,8.683,0.1331,7.87,0.0898,7.628,0.0609,4.3369801,89.10585,-0.08636792
46.876736,24.536211,12.426702,7.397,0.1248,6.559,0.0857,6.296,0.0593,2.9143767,222.06758,-0.480319
46.54931,26.699892,9.817951,7.864,0.1374,6.928,0.0895,6.573,0.0583,5.5812108,186.7258,-1.1916232
47.04057,26.860188,-247.78966,11.482,0.1413,10.799,0.0909,10.615,0.0583,4.7134945,8.074944,-0.2725845
49.191653,26.300604,16.409962,8.127,0.1726,7.255,0.1088,6.985,0.0681,4.0164062,204.39876,-0.18608493
48.972281,25.386937,-8.331106,9.198,0.1195,8.32,0.0774,8.12,0.0501,6.1015401,64.46888,-0.14767697
48.032586,26.296515,-13.51336,8.177,0.2128,7.214,0.1368,6.911,0.0876,5.3678843,181.49353,-0.10744126
48.024222,25.895472,11.540664,8.113,0.2126,7.233,0.1382,6.961,0.0896,3.8087156,21.40282,-0.18216821
47.403556,29.00157,-9.11649,7.78,0.2355,6.817,0.1424,6.527,0.0848,4.0225267,61.572605,-1.5779224
47.273657,29.024698,15.35326,8.858,0.2069,8.046,0.1252,7.83,0.0747,3.016727,133.10118,-0.10878425
47.447571,28.466666,4.4649024,8.667,0.2534,7.82,0.1553,7.585,0.094,3.1140425,148.59924,-0.07618533
49.311932,28.326509,24.077232,7.241,0.44,6.214,0.2627,5.907,0.1542,2.4439071,107.89708,999
49.5729,28.234693,69.35141,8.395,0.5311,7.324,0.3165,7.033,0.1853,3.5835633,113.04665,-0.8159107
49.743363,28.240877,-55.09434,9.274,0.6072,8.239,0.3608,7.904,0.2105,4.4042455,30.211168,-0.11711701
49.352386,28.823576,1.1127568,5.776,0.4546,4.711,0.2677,4.226,0.1546,1.972259,157.6883,999
49.607659,28.663554,-18.61886,9.39,0.4606,8.53,0.2713,8.197,0.1567,3.3023438,52.954258,-0.11326701
47.616167,28.262824,-74.15999,8.363,0.3228,7.43,0.1984,7.127,0.1205,4.1263108,182.53993,-0.10019528
47.744908,27.918041,-36.175808,8.712,0.2161,7.898,0.1338,7.611,0.0819,3.9621015,146.60663,999
46.737124,28.535494,-3.7417817,10.185,0.1334,9.338,0.0825,9.116,0.0505,8.7738891,51.722507,-0.14181282
64.610157,39.892395,18.4047,8.34,0.436,7.482,0.1512,7.208,0.0468,0.64414516,140.2454,-0.1449095
64.743074,39.652872,-10.956257,8.806,0.4559,7.726,0.1586,7.407,0.0493,4.106947,84.688126,-0.22222513
64.887101,39.963335,33.585003,7.696,0.4108,6.612,0.1416,6.288,0.0435,2.9820833,161.14708,999
63.662192,39.867487,-15.75917,8.682,0.5154,7.652,0.1818,7.388,0.0574,1.6564501,98.10431,-0.45247103
63.145121,40.334322,-54.25658,7.218,0.5349,6.162,0.1883,5.807,0.0593,1.4938243,229.08751,999
63.098509,40.146802,-14.897488,9.011,0.5172,7.904,0.183,7.515,0.058,5.1371435,78.59815,-0.5189927
61.760577,40.810018,6.8051195,8.315,0.6587,7.237,0.2347,6.84,0.075,1.8604912,97.2751,-1.2232165
62.666468,40.835227,-74.62285,9.166,0.461,8.183,0.1617,7.871,0.0507,2.9036576,113.6754,-0.079381259
62.544162,40.848884,18.875246,10.447,0.4706,9.463,0.1654,9.144,0.052,5.2055718,44.44958,-0.34249148
63.145909,41.810696,-25.300255,9.709,0.3732,8.658,0.127,8.412,0.0384,5.720122,77.14003,-0.43002215
62.931979,42.600742,-63.361366,9.089,0.2636,8.187,0.0883,7.911,0.0263,4.1075662,133.50882,-0.13082851
63.21538,42.098447,-25.808975,9.602,0.3635,8.607,0.1227,8.269,0.0368,6.5133786,99.10647,-0.47560878
63.395629,41.882588,-15.60363,7.546,0.3409,6.546,0.1153,6.292,0.0347,2.0122708,280.69366,999
64.926258,42.404661,-8.970348,8.084,0.4119,7.032,0.1342,6.728,0.0386,2.893708,239.58327,-0.48695959
64.700123,41.961167,-39.556217,10.1,0.3635,9.063,0.1201,8.807,0.0351,6.9502182,67.71819,-0.44792614
63.949892,41.85683,-78.68141,9.367,0.4944,8.389,0.1658,8.051,0.0493,2.8884515,113.41719,-0.30692869
64.072134,41.518897,-14.772337,8.76,0.3718,7.694,0.1254,7.349,0.0376,5.5315394,165.83704,-0.23739033
64.028417,41.333455,-0.5369681,9.084,0.3173,8.204,0.1075,7.899,0.0324,3.257875,166.18248,-0.15885738
63.718769,41.396805,-56.195534,10.034,0.4105,9.066,0.1396,8.733,0.0423,5.7146275,71.60312,-0.22681199
64.626907,41.496632,65.26759,8.678,0.301,7.801,0.1006,7.511,0.0298,2.6589858,97.05881,-0.12772666
64.529442,41.142589,116.27821,10.425,0.4152,9.77,0.1402,9.621,0.042,0.00010214869,2.648706,-0.74730631
64.717833,41.041271,45.445423,7.238,0.4025,6.194,0.1358,5.863,0.0407,2.2080909,330.3044,-0.861304
63.495591,41.324091,-8.506249,8.979,0.4253,7.987,0.1455,7.637,0.0443,3.969572,67.69046,-0.28395236
67.583894,41.862585,-9.325066,9.441,0.2865,8.457,0.0903,8.18,0.025,6.1106593,100.10026,-0.57190498
66.726141,41.627734,-56.666233,10.331,0.3477,9.361,0.1118,9.089,0.0317,6.5251119,61.575344,-0.33943092
66.990521,40.974943,-70.64074,8.559,0.3314,7.333,0.1076,6.738,0.0308,10.365267,91.44981,999
65.422321,40.626402,-32.45882,7.735,0.4054,6.711,0.1364,6.355,0.0407,2.7930249,204.81926,-1.8297235
66.785794,40.35121,9.042923,9.563,0.3908,8.528,0.1292,8.207,0.0378,6.2413859,67.58646,-0.3478899
65.532111,40.16793,7.0415707,9.33,0.438,8.298,0.1486,8.083,0.0448,2.6136687,83.727646,-0.10851345
66.106028,39.999707,0.41966844,11.182,0.3684,10.889,0.1242,10.79,0.0372,0,3.1124384,-1.369153
66.125758,40.028826,0.18303488,6.238,0.368,5.175,0.1239,4.777,0.037,1.994663,213.59644,999
65.43397,42.020642,-19.689919,10.276,0.375,9.241,0.1222,8.912,0.0351,9.4116186,77.0867,-0.32439265
66.193872,41.679822,23.448923,9.662,0.3817,8.645,0.1237,8.303,0.0354,6.7952036,80.21683,-0.31850079
66.224248,42.072452,-4.506645,7.447,0.3164,6.461,0.1016,6.05,0.0287,3.3855272,21.55634,-1.6311643
65.453158,41.905364,5.1548705,8.668,0.388,7.717,0.1267,7.375,0.0366,3.2086404,211.2249,-0.123079
65.439129,42.237711,-36.44139,10.112,0.3367,9.158,0.1092,8.884,0.0312,5.8270356,99.063126,-0.49365419
66.328087,42.466248,-27.323107,7.011,0.3273,6.045,0.104,5.766,0.029,1.5748432,278.18723,999
65.111744,42.874146,-43.533985,8.772,0.4154,7.681,0.1335,7.362,0.0378,4.752978,115.05589,-0.38968318
61.849779,42.022307,54.911556,8.385,0.341,7.453,0.1179,7.216,0.0364,1.89393,185.53964,-0.2949425
61.395087,41.891442,-44.10422,8.704,0.3779,7.82,0.132,7.569,0.0412,1.3315476,130.77637,-0.38719102
62.602614,41.350828,-75.27065,9.344,0.3301,8.504,0.1145,8.277,0.0355,1.4506337,142.95854,-0.19721963
62.850608,41.403516,15.274651,6.751,0.3596,5.901,0.1241,5.582,0.0382,0.79273217,267.7609,999
65.387921,44.30819,-52.303185,8.404,0.4127,7.405,0.1278,7.068,0.0346,3.0229153,104.67436,-0.31195676
65.322045,43.974834,0.8616859,7.962,0.4045,7.01,0.1264,6.729,0.0346,1.501379,207.3204,-0.90263705
65.177667,43.907841,-56.72073,9.734,0.4088,8.751,0.1282,8.42,0.0352,5.1634228,68.47515,-0.57820202
64.100158,43.821121,-55.521175,7.338,0.356,6.438,0.1138,6.115,0.032,1.42358,206.83809,999
64.426451,43.769674,-3.3314223,5.931,0.4014,4.992,0.1278,4.501,0.0358,1.4301697,264.12915,999
64.863662,44.313493,-51.581493,8.91,0.4379,7.758,0.1368,7.359,0.0374,6.9347294,72.135704,-0.26475191
65.239854,44.207583,14.32567,7.986,0.4848,6.968,0.1508,6.548,0.0411,2.798315,4.4444203,-0.66938213
65.11857,44.086769,-32.41654,8.134,0.485,7.082,0.1516,6.668,0.0415,3.3179897,134.0533,-0.56149808
64.241648,44.506521,-40.307613,8.596,0.3474,7.721,0.1091,7.417,0.03,2.0443855,138.51334,-0.083610022
64.239924,44.611896,-57.519222,9.83,0.3554,8.866,0.1114,8.576,0.0306,5.2438798,70.02583,-0.41255904
64.271407,44.026748,4.9429417,10.076,0.3412,9.197,0.1083,8.953,0.0302,2.848421,78.17483,-0.2138149
64.540704,44.515673,-80.08314,8.129,0.3464,7.287,0.1083,6.98,0.0296,1.3506182,169.13559,-0.089879046
64.603461,43.793201,26.479118,10.147,0.4242,9.19,0.1346,8.878,0.0375,4.5753431,61.604,-0.36600781
65.702837,44.123902,-2.711067,8.723,0.4337,7.658,0.1342,7.365,0.0363,3.5084415,117.16228,-0.41601639
65.752343,43.871206,54.369137,12.19,0.3644,11.894,0.1133,11.751,0.0308,1.8836977e-215,2.4264061,999
65.543824,44.028463,-25.355556,9.584,0.412,8.549,0.1281,8.234,0.0349,5.5487559,73.08695,-0.4151504
65.552002,43.633227,-40.357452,7.174,0.3656,6.292,0.1147,5.985,0.0315,1.0084999,281.26807,999
65.384169,44.034613,-62.503372,9.727,0.4044,8.847,0.126,8.467,0.0344,3.9782088,65.88465,-0.21603338
66.395506,44.048653,-12.44749,9.399,0.3618,8.488,0.1109,8.202,0.0297,3.0017411,79.08924,-0.51406204
66.401931,43.837366,-60.956676,9.453,0.3677,8.355,0.1132,8.011,0.0304,8.2298205,70.90384,-0.5052563
65.922041,44.280185,-0.60556054,6.579,0.4251,5.557,0.1306,5.113,0.035,1.9718125,202.53636,999
67.522174,42.881449,-10.82905,8.956,0.3509,8,0.1083,7.668,0.0292,4.1576574,4.219832,-0.17832203
66.82495,42.853636,-7.8121376,8.894,0.3896,7.88,0.1217,7.589,0.0333,3.6754829,66.829834,-0.340959
61.463434,43.078411,3.2106018,10.831,0.2462,10.038,0.0835,9.77,0.0252,5.1889553,45.331562,-0.27126804
61.316494,42.211372,-47.762886,7.864,0.3312,6.821,0.115,6.431,0.0356,4.3658778,69.16436,-0.57295173
62.813155,42.933554,12.208133,8.806,0.2435,7.886,0.0811,7.647,0.024,3.6188689,43.098324,-0.24586483
62.254216,42.553403,-65.99175,8.23,0.2812,7.395,0.0954,7.104,0.0288,1.9189784,214.96544,-0.39218527
61.979908,42.809219,-12.164866,8.811,0.2867,7.828,0.0971,7.492,0.0292,5.6305507,128.39946,-0.21216262
63.4109,43.390128,-49.33087,9.613,0.342,8.536,0.1117,8.194,0.0322,9.0697352,80.432884,-1.2042076
63.97435,42.843348,-1.9124125,8.474,0.3553,7.453,0.1164,7.209,0.0337,3.0038297,105.12845,-0.24894379
62.995423,43.799056,-34.493954,9.903,0.2826,8.896,0.092,8.589,0.0264,9.2235493,60.830563,-0.40144444
63.376261,44.265347,-37.196552,8.706,0.326,7.653,0.1044,7.334,0.0294,5.4886018,81.96205,-0.33866854
63.155221,44.309745,-40.25747,7.385,0.2993,6.487,0.0961,6.239,0.0271,1.2911529,161.07161,-1.6127003
142.65931,25.262228,-42.804672,9.046,0.0228,8.291,0.0163,8.132,0.0118,3.724493,228.0841,-0.18757188
341.7827,28.238727,-54.619976,9.847,0.0382,8.978,0.0248,8.76,0.0161,10.277204,36.71037,-0.18757188
340.39705,30.464758,-10.05705,7.445,0.0447,6.57,0.0268,6.353,0.0158,3.3716241,232.77722,-1.0652223
340.90737,30.474312,-73.75478,8.62,0.046,7.859,0.0278,7.646,0.0165,3.7233325,194.1182,999
341.10883,29.253901,-79.20792,8.978,0.0522,8.082,0.0327,7.824,0.0203,7.9922638,79.30805,999
340.85382,29.345748,-12.98743,7.662,0.0464,6.953,0.0289,6.748,0.0178,1.7653389,130.16747,-0.38802064
341.22941,28.932905,-43.84244,8.454,0.0491,7.556,0.0311,7.292,0.0195,6.4468527,132.7927,999
340.30576,29.488711,-102.83717,9.55,0.0469,8.764,0.0288,8.614,0.0175,4.7360913,92.35191,-0.24525234
340.11221,29.536831,-7.3792133,9.384,0.0648,8.548,0.0397,8.343,0.024,6.6094354,84.364494,-0.16145103
340.51019,29.008891,-123.91098,8.661,0.053,7.825,0.0331,7.599,0.0205,5.2848149,85.67372,-0.075819472
344.15715,30.01446,-36.310947,7.078,0.0353,6.305,0.0226,6.107,0.0144,1.8867425,284.97125,999
343.40416,29.621159,1.1306221,10.037,0.0463,9.261,0.0297,9.063,0.0189,7.2183792,57.768654,-0.18071762
343.64931,29.447349,-171.78804,9.825,0.046,8.989,0.0297,8.759,0.0191,9.3545944,57.907204,-0.2772268
342.41176,28.85198,-132.63136,10.432,0.0485,9.669,0.0313,9.456,0.0201,8.6890585,43.74905,-0.13693116
342.49893,29.07521,-91.45333,8.707,0.0431,7.822,0.0277,7.511,0.0177,7.9153995,89.28824,999
342.47518,30.044741,-60.59274,9.462,0.0529,8.709,0.033,8.502,0.0205,5.0484831,95.16459,999
339.02064,30.10304,-53.330975,9.48,0.0489,8.619,0.029,8.407,0.0169,8.0190174,61.179638,-0.14258038
341.11012,32.193891,-50.93727,8.596,0.0635,7.777,0.0367,7.59,0.0207,3.9683103,50.54432,999
340.48478,32.638107,-27.155626,9.122,0.056,8.374,0.0317,8.16,0.0175,4.2242785,88.81157,-0.25644572
343.73628,30.574275,-70.7321,8.804,0.0424,8.085,0.0265,7.85,0.0165,3.7559786,123.43752,-0.082694255
339.85357,31.366451,-14.557308,9.369,0.063,8.56,0.0366,8.342,0.0208,6.1922537,78.125626,-0.11742088
338.7926,31.02144,-21.395731,5.682,0.052,4.403,0.03,4.014,0.0169,3.4011267,235.53246,999
339.16114,31.035291,-141.20743,10.202,0.0558,9.387,0.0324,9.201,0.0184,8.3577199,45.666935,-0.28735646
340.23315,32.274615,-22.758362,9.018,0.0607,8.23,0.0346,8.05,0.0192,4.0780899,32.06454,-0.095316658
340.21178,32.389954,20.119516,7.203,0.0589,6.357,0.0334,6.14,0.0185,2.6305391,142.89471,999
340.00949,32.554677,-23.956526,7.369,0.0551,6.511,0.0311,6.254,0.017,3.3737297,77.15581,999
339.94925,32.576159,-37.774666,7.558,0.0544,6.693,0.0306,6.431,0.0167,3.8119269,84.54798,-0.83649439
53.228803,4.873782,21.024244,8.927,0.1362,8.132,0.0973,7.89,0.0705,4.624677,241.80003,-0.10332885
53.498418,5.11768,-114.5077,8.628,0.1714,7.804,0.1225,7.551,0.0887,4.3448682,128.31078,-0.14887956
97.022835,18.482082,-9.000015,12.28,0.2684,11.699,0.0816,11.546,0.0216,0.0086139809,1.6680521,999
95.811994,18.233531,26.596882,9.712,0.4479,8.532,0.1313,8.095,0.0333,11.127614,82.73407,-0.66709574
95.765974,20.589266,37.063335,11.805,0.3698,10.843,0.1122,10.479,0.0296,16.572956,47.710876,-0.56564761
97.567884,20.367039,13.032388,13.843,0.1578,13.689,0.0501,13.533,0.0139,8.1013833e-65,6.739747,999
97.103306,19.656154,6.7667193,11.686,0.2589,10.664,0.0802,10.343,0.0218,24.272141,58.233727,-0.36680877
98.308085,18.279186,-24.734703,9.687,0.1876,8.06,0.0589,6.91,0.0162,26.800336,123.1488,999
95.248843,19.252664,43.23743,11.267,0.3119,10.294,0.0914,9.916,0.0232,17.288465,56.31221,-0.66026303
95.31123,19.61916,6.3976264,9.417,0.3325,8.4,0.0982,7.95,0.0251,9.3820298,122.37767,-0.88383935
95.86804,19.421863,44.594433,11.595,0.2505,10.648,0.0749,10.412,0.0194,13.790244,51.218964,-0.42561504
95.374679,19.893565,77.81503,10.639,0.382,9.643,0.1134,9.279,0.0293,10.449358,75.82122,-0.40484448
99.315209,20.911801,19.95099,11.62,0.1304,10.814,0.0437,10.573,0.013,13.289156,71.935524,-0.41949138
95.142015,21.080153,27.14657,11.75,0.316,10.717,0.095,10.452,0.0248,17.934888,45.381012,-0.83003167
95.000569,20.954058,46.400066,9.597,0.3706,8.533,0.1108,8.115,0.0288,9.5859847,108.3222,-0.2434215
95.239565,20.236919,42.290474,10.548,0.4851,9.499,0.1443,9.098,0.0373,9.3785391,75.62399,-0.71603576
95.029178,20.539899,52.073368,11.185,0.6049,10.114,0.1798,9.802,0.0464,4.628316,48.85163,-0.516031
95.479904,20.971578,28.46015,11.416,0.3411,10.375,0.1033,10.051,0.0272,17.652919,43.293415,-0.5033116
